filepath,class,label
data\jester_NO_npy\110668.npy,no,0
data\jester_NO_npy\77753.npy,no,0
data\jester_NO_npy\146616.npy,no,0
data\SL_YES_npy\56821.npy,yes,1
data\SL_YES_npy\42220.npy,yes,1
data\SL_YES_npy\43598.npy,yes,1
data\SL_YES_npy\55314.npy,yes,1
data\jester_NO_npy\45288.npy,no,0
data\SL_YES_npy\38300.npy,yes,1
data\jester_NO_npy\134908.npy,no,0
data\SL_YES_npy\37046.npy,yes,1
data\jester_NO_npy\39463.npy,no,0
data\SL_YES_npy\16639.npy,yes,1
data\jester_NO_npy\132982.npy,no,0
data\jester_NO_npy\16858.npy,no,0
data\jester_NO_npy\21783.npy,no,0
data\jester_NO_npy\93453.npy,no,0
data\jester_NO_npy\27496.npy,no,0
data\jester_NO_npy\125121.npy,no,0
data\SL_YES_npy\41896.npy,yes,1
data\jester_NO_npy\109391.npy,no,0
data\jester_NO_npy\83450.npy,no,0
data\SL_YES_npy\65478.npy,yes,1
data\jester_NO_npy\58461.npy,no,0
data\jester_NO_npy\95985.npy,no,0
data\jester_NO_npy\7942.npy,no,0
data\SL_YES_npy\17429.npy,yes,1
data\jester_NO_npy\129034.npy,no,0
data\jester_NO_npy\120400.npy,no,0
data\jester_NO_npy\25526.npy,no,0
data\jester_NO_npy\143918.npy,no,0
data\SL_YES_npy\28584.npy,yes,1
data\SL_YES_npy\07960.npy,yes,1
data\jester_NO_npy\40360.npy,no,0
data\SL_YES_npy\45436.npy,yes,1
data\jester_NO_npy\21083.npy,no,0
data\jester_NO_npy\10180.npy,no,0
data\jester_NO_npy\89985.npy,no,0
data\SL_YES_npy\17086.npy,yes,1
data\SL_YES_npy\66752.npy,yes,1
data\jester_NO_npy\85193.npy,no,0
data\jester_NO_npy\139136.npy,no,0
data\jester_NO_npy\147222.npy,no,0
data\jester_NO_npy\50154.npy,no,0
data\SL_YES_npy\36139.npy,yes,1
data\SL_YES_npy\03156.npy,yes,1
data\jester_NO_npy\135040.npy,no,0
data\SL_YES_npy\36783.npy,yes,1
data\jester_NO_npy\99429.npy,no,0
data\SL_YES_npy\65595.npy,yes,1
data\jester_NO_npy\114363.npy,no,0
data\jester_NO_npy\81712.npy,no,0
data\jester_NO_npy\39393.npy,no,0
data\SL_YES_npy\57265.npy,yes,1
data\SL_YES_npy\08846.npy,yes,1
data\jester_NO_npy\64138.npy,no,0
data\SL_YES_npy\52584.npy,yes,1
data\SL_YES_npy\17975.npy,yes,1
data\jester_NO_npy\31146.npy,no,0
data\jester_NO_npy\44643.npy,no,0
data\SL_YES_npy\46502.npy,yes,1
data\jester_NO_npy\25891.npy,no,0
data\SL_YES_npy\16271.npy,yes,1
data\jester_NO_npy\82338.npy,no,0
data\jester_NO_npy\145409.npy,no,0
data\jester_NO_npy\94242.npy,no,0
data\jester_NO_npy\145271.npy,no,0
data\jester_NO_npy\38150.npy,no,0
data\jester_NO_npy\85285.npy,no,0
data\jester_NO_npy\106293.npy,no,0
data\SL_YES_npy\31220.npy,yes,1
data\jester_NO_npy\119666.npy,no,0
data\SL_YES_npy\55911.npy,yes,1
data\SL_YES_npy\32302.npy,yes,1
data\SL_YES_npy\48077.npy,yes,1
data\jester_NO_npy\12164.npy,no,0
data\SL_YES_npy\24203.npy,yes,1
data\SL_YES_npy\13326.npy,yes,1
data\SL_YES_npy\59903.npy,yes,1
data\SL_YES_npy\53196.npy,yes,1
data\jester_NO_npy\116755.npy,no,0
data\jester_NO_npy\29992.npy,no,0
data\SL_YES_npy\14453.npy,yes,1
data\jester_NO_npy\41708.npy,no,0
data\SL_YES_npy\45598.npy,yes,1
data\jester_NO_npy\62520.npy,no,0
data\SL_YES_npy\20406.npy,yes,1
data\SL_YES_npy\58669.npy,yes,1
data\jester_NO_npy\109724.npy,no,0
data\SL_YES_npy\10444.npy,yes,1
data\jester_NO_npy\5201.npy,no,0
data\jester_NO_npy\120803.npy,no,0
data\SL_YES_npy\05062.npy,yes,1
data\SL_YES_npy\65158.npy,yes,1
data\jester_NO_npy\59414.npy,no,0
data\jester_NO_npy\130116.npy,no,0
data\jester_NO_npy\131462.npy,no,0
data\SL_YES_npy\22553.npy,yes,1
data\jester_NO_npy\133914.npy,no,0
data\jester_NO_npy\140089.npy,no,0
data\SL_YES_npy\62501.npy,yes,1
data\jester_NO_npy\131590.npy,no,0
data\jester_NO_npy\109884.npy,no,0
data\SL_YES_npy\47225.npy,yes,1
data\SL_YES_npy\28649.npy,yes,1
data\jester_NO_npy\92983.npy,no,0
data\jester_NO_npy\142077.npy,no,0
data\jester_NO_npy\62643.npy,no,0
data\jester_NO_npy\41035.npy,no,0
data\jester_NO_npy\140939.npy,no,0
data\SL_YES_npy\51233.npy,yes,1
data\jester_NO_npy\128118.npy,no,0
data\SL_YES_npy\69212.npy,yes,1
data\jester_NO_npy\23984.npy,no,0
data\SL_YES_npy\66098.npy,yes,1
data\jester_NO_npy\141107.npy,no,0
data\jester_NO_npy\55552.npy,no,0
data\jester_NO_npy\89438.npy,no,0
data\jester_NO_npy\147278.npy,no,0
data\SL_YES_npy\33053.npy,yes,1
data\jester_NO_npy\72364.npy,no,0
data\jester_NO_npy\60647.npy,no,0
data\jester_NO_npy\55021.npy,no,0
data\SL_YES_npy\55637.npy,yes,1
data\jester_NO_npy\107320.npy,no,0
data\SL_YES_npy\26960.npy,yes,1
data\SL_YES_npy\65866.npy,yes,1
data\jester_NO_npy\107158.npy,no,0
data\SL_YES_npy\33981.npy,yes,1
data\SL_YES_npy\65816.npy,yes,1
data\jester_NO_npy\98254.npy,no,0
data\SL_YES_npy\66472.npy,yes,1
data\SL_YES_npy\53343.npy,yes,1
data\SL_YES_npy\66136.npy,yes,1
data\jester_NO_npy\45894.npy,no,0
data\jester_NO_npy\74505.npy,no,0
data\SL_YES_npy\65817.npy,yes,1
data\SL_YES_npy\23470.npy,yes,1
data\SL_YES_npy\44153.npy,yes,1
data\jester_NO_npy\126651.npy,no,0
data\SL_YES_npy\05063.npy,yes,1
data\SL_YES_npy\46867.npy,yes,1
data\SL_YES_npy\60227.npy,yes,1
data\jester_NO_npy\115616.npy,no,0
data\SL_YES_npy\30516.npy,yes,1
data\jester_NO_npy\143437.npy,no,0
data\jester_NO_npy\60188.npy,no,0
data\SL_YES_npy\07198.npy,yes,1
data\SL_YES_npy\58365.npy,yes,1
data\jester_NO_npy\51667.npy,no,0
data\jester_NO_npy\88341.npy,no,0
data\jester_NO_npy\91017.npy,no,0
data\jester_NO_npy\97579.npy,no,0
data\SL_YES_npy\33405.npy,yes,1
data\jester_NO_npy\125249.npy,no,0
data\jester_NO_npy\27518.npy,no,0
data\SL_YES_npy\51717.npy,yes,1
data\jester_NO_npy\31340.npy,no,0
data\SL_YES_npy\24611.npy,yes,1
data\SL_YES_npy\22954.npy,yes,1
data\jester_NO_npy\99487.npy,no,0
data\SL_YES_npy\14894.npy,yes,1
data\jester_NO_npy\133080.npy,no,0
data\jester_NO_npy\56513.npy,no,0
data\SL_YES_npy\45435.npy,yes,1
data\jester_NO_npy\94734.npy,no,0
data\SL_YES_npy\37473.npy,yes,1
data\jester_NO_npy\121300.npy,no,0
data\SL_YES_npy\17722.npy,yes,1
data\jester_NO_npy\62765.npy,no,0
data\jester_NO_npy\9261.npy,no,0
data\SL_YES_npy\63276.npy,yes,1
data\SL_YES_npy\59996.npy,yes,1
data\jester_NO_npy\145572.npy,no,0
data\jester_NO_npy\46857.npy,no,0
data\SL_YES_npy\26972.npy,yes,1
data\SL_YES_npy\01553.npy,yes,1
data\jester_NO_npy\99594.npy,no,0
data\SL_YES_npy\17083.npy,yes,1
data\SL_YES_npy\09533.npy,yes,1
data\jester_NO_npy\46036.npy,no,0
data\SL_YES_npy\59503.npy,yes,1
data\jester_NO_npy\99127.npy,no,0
data\SL_YES_npy\64391.npy,yes,1
data\SL_YES_npy\03595.npy,yes,1
data\SL_YES_npy\18290.npy,yes,1
data\jester_NO_npy\117586.npy,no,0
data\jester_NO_npy\145554.npy,no,0
data\SL_YES_npy\52796.npy,yes,1
data\jester_NO_npy\41025.npy,no,0
data\jester_NO_npy\132410.npy,no,0
data\jester_NO_npy\117132.npy,no,0
data\jester_NO_npy\128156.npy,no,0
data\jester_NO_npy\65475.npy,no,0
data\SL_YES_npy\54822.npy,yes,1
data\SL_YES_npy\59672.npy,yes,1
data\jester_NO_npy\81323.npy,no,0
data\SL_YES_npy\30057.npy,yes,1
data\SL_YES_npy\45669.npy,yes,1
data\jester_NO_npy\50068.npy,no,0
data\SL_YES_npy\66055.npy,yes,1
data\jester_NO_npy\94358.npy,no,0
data\SL_YES_npy\06121.npy,yes,1
data\SL_YES_npy\44168.npy,yes,1
data\jester_NO_npy\104802.npy,no,0
data\jester_NO_npy\81125.npy,no,0
data\SL_YES_npy\38089.npy,yes,1
data\jester_NO_npy\127452.npy,no,0
data\jester_NO_npy\63382.npy,no,0
data\jester_NO_npy\83547.npy,no,0
data\jester_NO_npy\127327.npy,no,0
data\jester_NO_npy\57659.npy,no,0
data\jester_NO_npy\54099.npy,no,0
data\SL_YES_npy\37986.npy,yes,1
data\jester_NO_npy\23408.npy,no,0
data\jester_NO_npy\65926.npy,no,0
data\jester_NO_npy\107879.npy,no,0
data\SL_YES_npy\54823.npy,yes,1
data\jester_NO_npy\87646.npy,no,0
data\SL_YES_npy\53445.npy,yes,1
data\SL_YES_npy\25509.npy,yes,1
data\SL_YES_npy\65313.npy,yes,1
data\SL_YES_npy\64305.npy,yes,1
data\jester_NO_npy\80945.npy,no,0
data\jester_NO_npy\8264.npy,no,0
data\SL_YES_npy\44175.npy,yes,1
data\jester_NO_npy\27932.npy,no,0
data\SL_YES_npy\26973.npy,yes,1
data\jester_NO_npy\111363.npy,no,0
data\jester_NO_npy\127402.npy,no,0
data\jester_NO_npy\54514.npy,no,0
data\jester_NO_npy\73541.npy,no,0
data\jester_NO_npy\92027.npy,no,0
data\SL_YES_npy\56972.npy,yes,1
data\jester_NO_npy\112784.npy,no,0
data\jester_NO_npy\52587.npy,no,0
data\jester_NO_npy\141202.npy,no,0
data\SL_YES_npy\30056.npy,yes,1
data\jester_NO_npy\115867.npy,no,0
data\jester_NO_npy\73299.npy,no,0
data\jester_NO_npy\54513.npy,no,0
data\SL_YES_npy\30748.npy,yes,1
data\jester_NO_npy\59840.npy,no,0
data\jester_NO_npy\124433.npy,no,0
data\jester_NO_npy\18690.npy,no,0
data\jester_NO_npy\36928.npy,no,0
data\jester_NO_npy\27362.npy,no,0
data\jester_NO_npy\2841.npy,no,0
data\jester_NO_npy\9066.npy,no,0
data\SL_YES_npy\51165.npy,yes,1
data\SL_YES_npy\03635.npy,yes,1
data\jester_NO_npy\18150.npy,no,0
data\jester_NO_npy\144304.npy,no,0
data\jester_NO_npy\146179.npy,no,0
data\jester_NO_npy\46024.npy,no,0
data\jester_NO_npy\57191.npy,no,0
data\jester_NO_npy\59441.npy,no,0
data\SL_YES_npy\45574.npy,yes,1
data\jester_NO_npy\100508.npy,no,0
data\jester_NO_npy\27782.npy,no,0
data\SL_YES_npy\32864.npy,yes,1
data\jester_NO_npy\134832.npy,no,0
data\jester_NO_npy\80952.npy,no,0
data\jester_NO_npy\33104.npy,no,0
data\jester_NO_npy\74572.npy,no,0
data\jester_NO_npy\84149.npy,no,0
data\jester_NO_npy\89522.npy,no,0
data\SL_YES_npy\59506.npy,yes,1
data\SL_YES_npy\65669.npy,yes,1
data\jester_NO_npy\86372.npy,no,0
data\SL_YES_npy\35798.npy,yes,1
data\jester_NO_npy\74775.npy,no,0
data\jester_NO_npy\142370.npy,no,0
data\jester_NO_npy\119205.npy,no,0
data\jester_NO_npy\134104.npy,no,0
data\SL_YES_npy\36399.npy,yes,1
data\jester_NO_npy\21552.npy,no,0
data\jester_NO_npy\140480.npy,no,0
data\jester_NO_npy\55713.npy,no,0
data\SL_YES_npy\36351.npy,yes,1
data\jester_NO_npy\112273.npy,no,0
data\jester_NO_npy\110196.npy,no,0
data\jester_NO_npy\41561.npy,no,0
data\jester_NO_npy\64754.npy,no,0
data\jester_NO_npy\103277.npy,no,0
data\jester_NO_npy\142606.npy,no,0
data\jester_NO_npy\105082.npy,no,0
data\jester_NO_npy\144635.npy,no,0
data\SL_YES_npy\45640.npy,yes,1
data\jester_NO_npy\121595.npy,no,0
data\jester_NO_npy\35757.npy,no,0
data\SL_YES_npy\65533.npy,yes,1
data\jester_NO_npy\14976.npy,no,0
data\jester_NO_npy\110994.npy,no,0
data\jester_NO_npy\94764.npy,no,0
data\jester_NO_npy\101085.npy,no,0
data\jester_NO_npy\113859.npy,no,0
data\SL_YES_npy\29400.npy,yes,1
data\jester_NO_npy\134581.npy,no,0
data\jester_NO_npy\96153.npy,no,0
data\jester_NO_npy\148082.npy,no,0
data\jester_NO_npy\84029.npy,no,0
data\SL_YES_npy\66667.npy,yes,1
data\jester_NO_npy\97358.npy,no,0
data\jester_NO_npy\135654.npy,no,0
data\jester_NO_npy\79307.npy,no,0
data\jester_NO_npy\14684.npy,no,0
data\SL_YES_npy\46333.npy,yes,1
data\jester_NO_npy\41754.npy,no,0
data\jester_NO_npy\133694.npy,no,0
data\jester_NO_npy\35065.npy,no,0
data\SL_YES_npy\18522.npy,yes,1
data\jester_NO_npy\67531.npy,no,0
data\jester_NO_npy\137990.npy,no,0
data\jester_NO_npy\4836.npy,no,0
data\jester_NO_npy\18429.npy,no,0
data\jester_NO_npy\71419.npy,no,0
data\jester_NO_npy\142058.npy,no,0
data\jester_NO_npy\50067.npy,no,0
data\jester_NO_npy\6244.npy,no,0
data\jester_NO_npy\56345.npy,no,0
data\jester_NO_npy\39835.npy,no,0
data\jester_NO_npy\23862.npy,no,0
data\jester_NO_npy\38077.npy,no,0
data\SL_YES_npy\10612.npy,yes,1
data\jester_NO_npy\90447.npy,no,0
data\jester_NO_npy\50908.npy,no,0
data\jester_NO_npy\125144.npy,no,0
data\jester_NO_npy\9588.npy,no,0
data\jester_NO_npy\14539.npy,no,0
data\jester_NO_npy\47140.npy,no,0
data\SL_YES_npy\51061.npy,yes,1
data\jester_NO_npy\84225.npy,no,0
data\SL_YES_npy\16397.npy,yes,1
data\jester_NO_npy\37973.npy,no,0
data\jester_NO_npy\34386.npy,no,0
data\SL_YES_npy\39379.npy,yes,1
data\jester_NO_npy\19642.npy,no,0
data\jester_NO_npy\127980.npy,no,0
data\jester_NO_npy\96528.npy,no,0
data\jester_NO_npy\128981.npy,no,0
data\jester_NO_npy\8405.npy,no,0
data\SL_YES_npy\13472.npy,yes,1
data\SL_YES_npy\14049.npy,yes,1
data\SL_YES_npy\12079.npy,yes,1
data\SL_YES_npy\65786.npy,yes,1
data\jester_NO_npy\88270.npy,no,0
data\jester_NO_npy\103559.npy,no,0
data\jester_NO_npy\75.npy,no,0
data\SL_YES_npy\35607.npy,yes,1
data\SL_YES_npy\13863.npy,yes,1
data\SL_YES_npy\13216.npy,yes,1
data\jester_NO_npy\52058.npy,no,0
data\jester_NO_npy\57495.npy,no,0
data\SL_YES_npy\17915.npy,yes,1
data\SL_YES_npy\36611.npy,yes,1
data\SL_YES_npy\42966.npy,yes,1
data\SL_YES_npy\03642.npy,yes,1
data\jester_NO_npy\134386.npy,no,0
data\jester_NO_npy\85950.npy,no,0
data\SL_YES_npy\36606.npy,yes,1
data\SL_YES_npy\05560.npy,yes,1
data\SL_YES_npy\26003.npy,yes,1
data\jester_NO_npy\131245.npy,no,0
data\jester_NO_npy\31774.npy,no,0
data\jester_NO_npy\51111.npy,no,0
data\SL_YES_npy\46737.npy,yes,1
data\jester_NO_npy\94490.npy,no,0
data\SL_YES_npy\24586.npy,yes,1
data\SL_YES_npy\13245.npy,yes,1
data\jester_NO_npy\85451.npy,no,0
data\jester_NO_npy\105620.npy,no,0
data\jester_NO_npy\83598.npy,no,0
data\SL_YES_npy\66040.npy,yes,1
data\jester_NO_npy\8398.npy,no,0
data\jester_NO_npy\81833.npy,no,0
data\jester_NO_npy\90660.npy,no,0
data\jester_NO_npy\675.npy,no,0
data\jester_NO_npy\32723.npy,no,0
data\SL_YES_npy\31583.npy,yes,1
data\jester_NO_npy\42314.npy,no,0
data\SL_YES_npy\51403.npy,yes,1
data\jester_NO_npy\46795.npy,no,0
data\jester_NO_npy\99947.npy,no,0
data\SL_YES_npy\48573.npy,yes,1
data\SL_YES_npy\25685.npy,yes,1
data\jester_NO_npy\85306.npy,no,0
data\SL_YES_npy\66755.npy,yes,1
data\SL_YES_npy\53449.npy,yes,1
data\jester_NO_npy\44933.npy,no,0
data\SL_YES_npy\18298.npy,yes,1
data\jester_NO_npy\36266.npy,no,0
data\jester_NO_npy\58438.npy,no,0
data\jester_NO_npy\126686.npy,no,0
data\jester_NO_npy\3223.npy,no,0
data\jester_NO_npy\38217.npy,no,0
data\jester_NO_npy\75292.npy,no,0
data\jester_NO_npy\87518.npy,no,0
data\jester_NO_npy\4371.npy,no,0
data\jester_NO_npy\8144.npy,no,0
data\SL_YES_npy\49653.npy,yes,1
data\SL_YES_npy\19692.npy,yes,1
data\jester_NO_npy\37447.npy,no,0
data\SL_YES_npy\13854.npy,yes,1
data\jester_NO_npy\83835.npy,no,0
data\jester_NO_npy\125392.npy,no,0
data\jester_NO_npy\85237.npy,no,0
data\jester_NO_npy\144328.npy,no,0
data\jester_NO_npy\66572.npy,no,0
data\SL_YES_npy\13634.npy,yes,1
data\jester_NO_npy\62351.npy,no,0
data\jester_NO_npy\52109.npy,no,0
data\jester_NO_npy\16897.npy,no,0
data\jester_NO_npy\132525.npy,no,0
data\jester_NO_npy\105725.npy,no,0
data\jester_NO_npy\119345.npy,no,0
data\jester_NO_npy\3585.npy,no,0
data\SL_YES_npy\02233.npy,yes,1
data\SL_YES_npy\63948.npy,yes,1
data\jester_NO_npy\37682.npy,no,0
data\jester_NO_npy\13188.npy,no,0
data\SL_YES_npy\41663.npy,yes,1
data\SL_YES_npy\52714.npy,yes,1
data\jester_NO_npy\138523.npy,no,0
data\SL_YES_npy\05622.npy,yes,1
data\jester_NO_npy\139659.npy,no,0
data\jester_NO_npy\2753.npy,no,0
data\jester_NO_npy\130863.npy,no,0
data\SL_YES_npy\42516.npy,yes,1
data\jester_NO_npy\40035.npy,no,0
data\jester_NO_npy\124114.npy,no,0
data\jester_NO_npy\133083.npy,no,0
data\jester_NO_npy\56039.npy,no,0
data\jester_NO_npy\93199.npy,no,0
data\jester_NO_npy\43427.npy,no,0
data\SL_YES_npy\04170.npy,yes,1
data\jester_NO_npy\67192.npy,no,0
data\SL_YES_npy\52579.npy,yes,1
data\SL_YES_npy\01734.npy,yes,1
data\SL_YES_npy\53626.npy,yes,1
data\SL_YES_npy\63655.npy,yes,1
data\SL_YES_npy\63656.npy,yes,1
data\SL_YES_npy\66031.npy,yes,1
data\SL_YES_npy\03605.npy,yes,1
data\jester_NO_npy\15859.npy,no,0
data\jester_NO_npy\50798.npy,no,0
data\SL_YES_npy\43529.npy,yes,1
data\SL_YES_npy\47985.npy,yes,1
data\SL_YES_npy\43595.npy,yes,1
data\jester_NO_npy\86987.npy,no,0
data\SL_YES_npy\24045.npy,yes,1
data\SL_YES_npy\20662.npy,yes,1
data\jester_NO_npy\83235.npy,no,0
data\jester_NO_npy\92234.npy,no,0
data\SL_YES_npy\39848.npy,yes,1
data\SL_YES_npy\56030.npy,yes,1
data\jester_NO_npy\48236.npy,no,0
data\jester_NO_npy\136074.npy,no,0
data\SL_YES_npy\07391.npy,yes,1
data\SL_YES_npy\65918.npy,yes,1
data\SL_YES_npy\23276.npy,yes,1
data\jester_NO_npy\147215.npy,no,0
data\jester_NO_npy\121872.npy,no,0
data\jester_NO_npy\78101.npy,no,0
data\jester_NO_npy\32439.npy,no,0
data\jester_NO_npy\45345.npy,no,0
data\SL_YES_npy\11384.npy,yes,1
data\SL_YES_npy\38293.npy,yes,1
data\jester_NO_npy\127732.npy,no,0
data\SL_YES_npy\69421.npy,yes,1
data\jester_NO_npy\71572.npy,no,0
data\jester_NO_npy\22252.npy,no,0
data\jester_NO_npy\121455.npy,no,0
data\SL_YES_npy\65885.npy,yes,1
data\SL_YES_npy\22512.npy,yes,1
data\jester_NO_npy\46194.npy,no,0
data\jester_NO_npy\108468.npy,no,0
data\jester_NO_npy\49354.npy,no,0
data\SL_YES_npy\44242.npy,yes,1
data\jester_NO_npy\3284.npy,no,0
data\jester_NO_npy\79380.npy,no,0
data\SL_YES_npy\69463.npy,yes,1
data\SL_YES_npy\53773.npy,yes,1
data\jester_NO_npy\122518.npy,no,0
data\jester_NO_npy\88514.npy,no,0
data\jester_NO_npy\58012.npy,no,0
data\SL_YES_npy\04709.npy,yes,1
data\SL_YES_npy\08349.npy,yes,1
data\jester_NO_npy\2855.npy,no,0
data\jester_NO_npy\92263.npy,no,0
data\jester_NO_npy\136920.npy,no,0
data\jester_NO_npy\67912.npy,no,0
data\jester_NO_npy\104436.npy,no,0
data\SL_YES_npy\69404.npy,yes,1
data\jester_NO_npy\74787.npy,no,0
data\jester_NO_npy\125135.npy,no,0
data\jester_NO_npy\3442.npy,no,0
data\SL_YES_npy\46780.npy,yes,1
data\jester_NO_npy\2717.npy,no,0
data\jester_NO_npy\81795.npy,no,0
data\SL_YES_npy\02105.npy,yes,1
data\jester_NO_npy\124374.npy,no,0
data\jester_NO_npy\122561.npy,no,0
data\jester_NO_npy\130909.npy,no,0
data\SL_YES_npy\08095.npy,yes,1
data\jester_NO_npy\36578.npy,no,0
data\SL_YES_npy\16986.npy,yes,1
data\SL_YES_npy\58771.npy,yes,1
data\jester_NO_npy\135662.npy,no,0
data\jester_NO_npy\131058.npy,no,0
data\jester_NO_npy\38057.npy,no,0
data\jester_NO_npy\48646.npy,no,0
data\SL_YES_npy\08167.npy,yes,1
data\jester_NO_npy\136323.npy,no,0
data\SL_YES_npy\17431.npy,yes,1
data\SL_YES_npy\25876.npy,yes,1
data\SL_YES_npy\04604.npy,yes,1
data\jester_NO_npy\136160.npy,no,0
data\jester_NO_npy\95690.npy,no,0
data\jester_NO_npy\91197.npy,no,0
data\SL_YES_npy\65192.npy,yes,1
data\jester_NO_npy\3566.npy,no,0
data\SL_YES_npy\37882.npy,yes,1
data\jester_NO_npy\122609.npy,no,0
data\jester_NO_npy\118518.npy,no,0
data\SL_YES_npy\01264.npy,yes,1
data\SL_YES_npy\65383.npy,yes,1
data\jester_NO_npy\5438.npy,no,0
data\jester_NO_npy\122225.npy,no,0
data\jester_NO_npy\27056.npy,no,0
data\SL_YES_npy\51057.npy,yes,1
data\jester_NO_npy\46273.npy,no,0
data\jester_NO_npy\39222.npy,no,0
data\SL_YES_npy\63205.npy,yes,1
data\SL_YES_npy\63968.npy,yes,1
data\jester_NO_npy\35377.npy,no,0
data\SL_YES_npy\33465.npy,yes,1
data\SL_YES_npy\65777.npy,yes,1
data\SL_YES_npy\39557.npy,yes,1
data\jester_NO_npy\57776.npy,no,0
data\SL_YES_npy\65577.npy,yes,1
data\jester_NO_npy\117604.npy,no,0
data\jester_NO_npy\145543.npy,no,0
data\SL_YES_npy\17709.npy,yes,1
data\SL_YES_npy\55206.npy,yes,1
data\SL_YES_npy\22930.npy,yes,1
data\SL_YES_npy\46500.npy,yes,1
data\jester_NO_npy\33067.npy,no,0
data\SL_YES_npy\21277.npy,yes,1
data\jester_NO_npy\41620.npy,no,0
data\SL_YES_npy\51331.npy,yes,1
data\SL_YES_npy\39387.npy,yes,1
data\jester_NO_npy\144921.npy,no,0
data\jester_NO_npy\6546.npy,no,0
data\SL_YES_npy\25407.npy,yes,1
data\jester_NO_npy\110020.npy,no,0
data\jester_NO_npy\102634.npy,no,0
data\jester_NO_npy\96198.npy,no,0
data\jester_NO_npy\24790.npy,no,0
data\jester_NO_npy\131282.npy,no,0
data\jester_NO_npy\126385.npy,no,0
data\SL_YES_npy\51281.npy,yes,1
data\SL_YES_npy\41511.npy,yes,1
data\jester_NO_npy\118645.npy,no,0
data\SL_YES_npy\64087.npy,yes,1
data\SL_YES_npy\09736.npy,yes,1
data\SL_YES_npy\23673.npy,yes,1
data\jester_NO_npy\84725.npy,no,0
data\jester_NO_npy\78713.npy,no,0
data\jester_NO_npy\146745.npy,no,0
data\SL_YES_npy\20661.npy,yes,1
data\SL_YES_npy\32722.npy,yes,1
data\SL_YES_npy\33983.npy,yes,1
data\SL_YES_npy\52765.npy,yes,1
data\jester_NO_npy\79148.npy,no,0
data\jester_NO_npy\31501.npy,no,0
data\jester_NO_npy\66835.npy,no,0
data\jester_NO_npy\101671.npy,no,0
data\SL_YES_npy\28739.npy,yes,1
data\SL_YES_npy\25245.npy,yes,1
data\jester_NO_npy\54432.npy,no,0
data\jester_NO_npy\127918.npy,no,0
data\jester_NO_npy\138208.npy,no,0
data\jester_NO_npy\20586.npy,no,0
data\SL_YES_npy\06436.npy,yes,1
data\SL_YES_npy\14885.npy,yes,1
data\jester_NO_npy\70433.npy,no,0
data\SL_YES_npy\43540.npy,yes,1
data\jester_NO_npy\48682.npy,no,0
data\jester_NO_npy\53742.npy,no,0
data\jester_NO_npy\113004.npy,no,0
data\jester_NO_npy\124766.npy,no,0
data\SL_YES_npy\55202.npy,yes,1
data\SL_YES_npy\15453.npy,yes,1
data\jester_NO_npy\1501.npy,no,0
data\jester_NO_npy\142601.npy,no,0
data\SL_YES_npy\64263.npy,yes,1
data\SL_YES_npy\48539.npy,yes,1
data\SL_YES_npy\59249.npy,yes,1
data\jester_NO_npy\101259.npy,no,0
data\SL_YES_npy\33392.npy,yes,1
data\jester_NO_npy\96419.npy,no,0
data\SL_YES_npy\04380.npy,yes,1
data\jester_NO_npy\27196.npy,no,0
data\jester_NO_npy\126664.npy,no,0
data\jester_NO_npy\84881.npy,no,0
data\SL_YES_npy\65265.npy,yes,1
data\jester_NO_npy\50763.npy,no,0
data\jester_NO_npy\70353.npy,no,0
data\jester_NO_npy\84820.npy,no,0
data\SL_YES_npy\11090.npy,yes,1
data\jester_NO_npy\115835.npy,no,0
data\jester_NO_npy\62044.npy,no,0
data\SL_YES_npy\53621.npy,yes,1
data\jester_NO_npy\45399.npy,no,0
data\jester_NO_npy\62274.npy,no,0
data\jester_NO_npy\84852.npy,no,0
data\jester_NO_npy\89467.npy,no,0
data\SL_YES_npy\37425.npy,yes,1
data\jester_NO_npy\126098.npy,no,0
data\SL_YES_npy\55731.npy,yes,1
data\SL_YES_npy\65063.npy,yes,1
data\jester_NO_npy\15376.npy,no,0
data\SL_YES_npy\25436.npy,yes,1
data\jester_NO_npy\21651.npy,no,0
data\jester_NO_npy\16817.npy,no,0
data\jester_NO_npy\53877.npy,no,0
data\jester_NO_npy\62731.npy,no,0
data\jester_NO_npy\57300.npy,no,0
data\SL_YES_npy\31898.npy,yes,1
data\SL_YES_npy\12101.npy,yes,1
data\jester_NO_npy\109235.npy,no,0
data\jester_NO_npy\126402.npy,no,0
data\SL_YES_npy\21853.npy,yes,1
data\SL_YES_npy\45051.npy,yes,1
data\jester_NO_npy\15487.npy,no,0
data\SL_YES_npy\58303.npy,yes,1
data\SL_YES_npy\33393.npy,yes,1
data\SL_YES_npy\62709.npy,yes,1
data\jester_NO_npy\31618.npy,no,0
data\jester_NO_npy\58458.npy,no,0
data\jester_NO_npy\88264.npy,no,0
data\jester_NO_npy\87539.npy,no,0
data\jester_NO_npy\5199.npy,no,0
data\SL_YES_npy\38087.npy,yes,1
data\jester_NO_npy\119257.npy,no,0
data\jester_NO_npy\18484.npy,no,0
data\jester_NO_npy\124224.npy,no,0
data\SL_YES_npy\27281.npy,yes,1
data\SL_YES_npy\61449.npy,yes,1
data\jester_NO_npy\9285.npy,no,0
data\jester_NO_npy\53903.npy,no,0
data\jester_NO_npy\98031.npy,no,0
data\jester_NO_npy\8953.npy,no,0
